0,"C Jam Blues","Duke Ellington"
0,"Now's the Time","Charlie Parker"
0,"Blue Monk","Thelonious Monk"
0,"Watermelon Man","Herbie Hancock"
0,"Cantaloupe Island","Herbie Hancock"
0,"Freddie Freeloader","Miles Davis"
0,"St. Louis Blues","W.C. Handy"
0,"When The Saints Go Marching In","Traditional"
0,"Frankie and Johnny","Traditional"
0,"Basin Street Blues","Spencer Williams"
0,"Careless Love Blues","W.C. Handy"
0,"St. James Infirmary Blues","Traditional"
0,"Sonnymoon for Two","Sonny Rollins"
0,"Tenor Madness","Sonny Rollins"
0,"Bags' Groove","Milt Jackson"
0,"Walkin'","Richard Carpenter"
0,"Bill Bailey, Won't You Please Come Home?","Hughie Cannon"
0,"Joshua Fit the Battle of Jericho","Traditional Spiritual"
0,"Go Down Moses","Traditional Spiritual"
0,"Swing Low, Sweet Chariot","Wallace Willis"
0,"Nobody Knows the Trouble I've Seen","Traditional Spiritual"
0,"Down by the Riverside","Traditional"
0,"Michael, Row the Boat Ashore","Traditional"
0,"Good Morning Blues","Count Basie / Eddie Durham / Jimmy Rushing"
0,"One O'Clock Jump","Count Basie"
0,"Sent for You Yesterday (and Here You Come Today)","Count Basie / Eddie Durham / Jimmy Rushing"
0,"Boogie Woogie (Pinetop's)","Pinetop Smith"
0,"See See Rider","Ma Rainey"
0,"Roll 'Em Pete","Pete Johnson / Big Joe Turner"
0,"After You've Gone","Turner Layton"
0,"Some of These Days","Shelton Brooks"
0,"Alexander's Ragtime Band","Irving Berlin"
0,"Maple Leaf Rag","Scott Joplin"
0,"The Entertainer","Scott Joplin"
0,"Memphis Blues","W.C. Handy"
0,"Beale Street Blues","W.C. Handy"
0,"Hesitation Blues","W.C. Handy"
0,"Joe Turner Blues","W.C. Handy"
0,"Stompy Jones","Duke Ellington"
0,"Rockin' in Rhythm","Duke Ellington"
0,"Tuxedo Junction","Erskine Hawkins / Bill Johnson / Julian Dash"
0,"Jumpin' at the Woodside","Count Basie"
0,"Lester Leaps In","Lester Young"
0,"Every Day I Have the Blues","Peter Chatman"
0,"Sweet Home Chicago","Robert Johnson"
0,"Kansas City","Jerry Leiber / Mike Stoller"
0,"Route 66","Bobby Troup"
0,"Fever","Eddie Cooley / Otis Blackwell"
0,"Hit the Road Jack","Percy Mayfield"
0,"I Got a Woman","Ray Charles"
0,"What'd I Say","Ray Charles"
0,"Hallelujah, I Love Her So","Ray Charles"
0,"The Preacher","Horace Silver"
0,"Comin' Home Baby","Ben Tucker"
0,"Chameleon","Herbie Hancock"
0,"Sister Sadie","Horace Silver"
0,"Doodlin'","Horace Silver"
0,"Señor Blues","Horace Silver"
0,"Sandu","Clifford Brown"
0,"Cool Struttin'","Sonny Clark"
0,"Blues Walk","Clifford Brown"
0,"This Here","Bobby Timmons"
0,"Dat Dere","Bobby Timmons"
0,"Filthy McNasty","Horace Silver"
0,"The Jody Grind","Horace Silver"
0,"Unit 7","Sam Jones"
0,"Jeannine","Duke Pearson"
0,"Sack O' Woe","Cannonball Adderley"
0,"Jive Samba","Nat Adderley"
0,"The 'In' Crowd","Billy Page"
0,"Green Onions","Booker T. & the M.G.'s"
0,"Hang Up Your Hang Ups","Herbie Hancock"
0,"Listen Here","Eddie Harris"
0,"Cold Duck Time","Eddie Harris"
0,"Back at the Chicken Shack","Jimmy Smith"
0,"The Cat","Lalo Schifrin"
0,"Honky Tonk (Part 2)","Bill Doggett"
0,"Tequila","Chuck Rio"
0,"Peter Gunn Theme","Henry Mancini"
0,"Pink Panther Theme","Henry Mancini"
0,"Blue Moon","Richard Rodgers"
